No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
89,Jeremy Ruckert,24,TE,17,9,250,6-5,Ohio St.,8/11/2000,2,1,New York Jets / 3rd / 101st pick / 2022
71,Wes Schweitzer,31,OL,4,0,300,6-4,San Jose St.,9/11/1993,7,0,Atlanta Falcons / 6th / 195th pick / 2016
27,Kendall Sheffield,28,CB,6,0,212,5-10,Ohio St.,5/30/1996,5,0,Atlanta Falcons / 4th / 111th pick / 2019
44,Jamien Sherwood,24,LB,17,16,216,6-2,Auburn,1/12/2000,3,7,New York Jets / 5th / 146th pick / 2021
40,Spencer Shrader,25,K,1,0,201,6-2,"South Florida , Notre Dame",5/19/1999,Rook,0,
76,John Simpson,27,OL,17,17,330,6-4,Clemson,8/19/1997,4,7,Las Vegas Raiders / 4th / 109th pick / 2020
87,Brandon Smith,26,WR,1,0,220,6-2,Iowa,12/10/1998,1,0,
77,Tyron Smith,34,OL,10,10,320,6-5,USC,12/12/1990,13,4,Dallas Cowboys / 1st / 9th pick / 2011
37,Qwan'tez Stiggers,22,CB,14,1,197,6-0,None,1/8/2002,1,1,New York Jets / 5th / 176th pick / 2024
55,Chazz Surratt,27,LB,17,5,233,6-2,North Carolina,2/16/1997,3,3,Minnesota Vikings / 3rd / 78th pick / 2021
31,Tre Swilling,25,DB,1,0,196,6-0,Georgia Tech,3/26/1999,1,0,
96,Leonard Taylor,25,DL,14,0,305,6-3,Miami (FL),8/26/1999,Rook,1,
2,Tyrod Taylor,35,QB,2,0,217,6-1,Virginia Tech,8/3/1989,13,0,Baltimore Ravens / 6th / 180th pick / 2011
94,Solomon Thomas,29,DL,16,1,295,6-3,Stanford,12/20/1995,7,2,San Francisco 49ers / 1st / 3rd pick / 2017
66,Joe Tippmann,23,C,17,17,313,6-6,Wisconsin,3/24/2001,1,7,New York Jets / 2nd / 43rd pick / 2023
75,Alijah Vera-Tucker,25,G,15,15,308,6-5,USC,6/17/1999,3,7,New York Jets / 1st / 14th pick / 2021
67,Carter Warren,25,T,6,1,311,6-5,Pittsburgh,1/19/1999,1,1,New York Jets / 4th / 120th pick / 2023
58,Eric Watts,24,DL,14,0,277,6-5,Connecticut,10/1/2000,Rook,1,
18,Mike Williams,30,WR,9,3,218,6-4,Clemson,10/4/1994,7,1,Los Angeles Chargers / 1st / 7th pick / 2017
56,Quincy Williams,28,LB,17,17,230,5-11,Murray St.,8/28/1996,5,8,Jacksonville Jaguars / 3rd / 98th pick / 2019
95,Quinnen Williams,27,DL,16,16,303,6-3,Alabama,12/21/1997,5,10,New York Jets / 1st / 3rd pick / 2019
5,Garrett Wilson,24,WR,17,17,183,6-0,Ohio St.,7/22/2000,2,10,New York Jets / 1st / 10th pick / 2022
88,Kenny Yeboah,26,TE,9,1,250,6-4,"Temple , Mississippi",10/30/1998,3,0,
9,Greg Zuerlein,37,K,8,0,195,6-0,"Nebraska-Omaha , Missouri Western St.",12/27/1987,12,0,St. Louis Rams / 6th / 171st pick / 2012
