No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
38,Brady Russell,26,TE,11,0,250,6-3,Colorado,8/31/1998,1,0,
1,Laviska Shenault Jr.,26,WR,11,1,224,6-1,Colorado,10/5/1998,4,1,Jacksonville Jaguars / 2nd / 42nd pick / 2020
44,Jamie Sheriff,24,LB,1,0,265,6-2,"Mississippi Gulf Coast CC , South Alabama",8/18/2000,Rook,0,
7,Geno Smith,34,QB,17,17,221,6-3,West Virginia,10/10/1990,11,12,New York Jets / 2nd / 39th pick / 2013
11,Jaxon Smith-Njigba,22,WR,17,16,197,6-0,Ohio St.,2/14/2002,1,9,Seattle Seahawks / 1st / 20th pick / 2023
41,Chris Stoll,26,LS,17,0,255,6-2,Penn St.,8/3/1998,1,1,
61,Jalen Sundell,25,C,12,0,301,6-5,North Dakota St.,10/18/1999,Rook,1,
42,Drake Thomas,24,LB,17,0,228,5-11,North Carolina St.,2/25/2000,1,1,
70,Laken Tomlinson,32,G,17,17,323,6-3,Duke,2/9/1992,9,6,Detroit Lions / 1st / 28th pick / 2015
9,Kenneth Walker III,24,RB,11,11,211,5-9,"Wake Forest , Michigan St.",10/20/2000,2,5,Seattle Seahawks / 2nd / 41st pick / 2022
24,K'Von Wallace,27,S,9,0,205,5-11,Clemson,7/25/1997,4,1,Philadelphia Eagles / 4th / 127th pick / 2020
82,Cody White,26,WR,4,0,215,6-3,Michigan St.,11/28/1998,3,0,
57,Connor Williams,27,C,9,9,310,6-5,Texas,5/12/1997,6,3,Dallas Cowboys / 2nd / 50th pick / 2018
33,Dee Williams,25,CB,12,0,190,5-10,"East Central CC (MS) , Tennessee",12/6/1999,Rook,1,
99,Leonard Williams,30,DE,16,16,300,6-5,USC,6/20/1994,9,13,New York Jets / 1st / 6th pick / 2015
21,Devon Witherspoon,24,CB,17,17,185,6-0,Illinois,12/11/2000,1,10,Seattle Seahawks / 1st / 5th pick / 2023
27,Riq Woolen,25,CB,15,14,210,6-4,Texas-San Antonio,5/2/1999,2,6,Seattle Seahawks / 5th / 153rd pick / 2022
93,Cameron Young,24,NT,1,0,304,6-3,Mississippi St.,6/8/2000,1,0,Seattle Seahawks / 4th / 123rd pick / 2023
83,Dareke Young,25,WR,14,0,224,6-2,Lenoir-Rhyne,6/4/1999,2,0,Seattle Seahawks / 7th / 233rd pick / 2022
